shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,speedFromLastEvent,team,teamCode,time,timeDifferenceSinceChange,timeSinceFaceoff,timeSinceLastEvent,timeUntilNextEvent,xCord,xCordAdjusted,xFroze,xGoal,xPlayContinuedInZone,xPlayContinuedOutsideZone,xPlayStopped,xRebound,xShotWasOnGoal,yCord,yCordAdjusted
10,64,-28,28,18,18,-8.8,0,0,0,5,CHI,0,47,75,75,28.33333333,28.33333333,47,2,3,75,75,75,35,35,75,22,75,75,22,22,22,73.73601562,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,44,1,0,HIT,0,0,AWAY,-97,97,-8,8,AWAYZONE,0,1,5,0,D,2025,R,Aaron Ekblad,8477932,47,47,38.2,47.5,47.5,32,32,38.2,2,3,48,48,48,34,34,48,31,47,47,31,31,31,-16.44037952,16.44037952,0,0,0,63.60031446,0,0,0,1,0,0,0,0,WRIST,0,18.43400391,HOME,FLA,292,9,75,4,24,-28,28,0.196867,0.0206624,0.406736,0.320002,0.0211009,0.0346315,0.679304,18,-18
11,54,-49,49,-37,37,0,0,120,100,4,CHI,0,20,20,20,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,25,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,59,1,0,FAC,0,0,HOME,-69,69,-22,22,AWAYZONE,0,1,63,0,L,2025,L,Brad Marchand,8473419,20,20,29.2,31.5,20,27.66666667,20,20,2,3,43,43,20,43,20,20,20,20,20,20,20,20,42.76882539,42.76882539,0,0,0,54.4885309,0,0,0,1,0,0,0,0,WRIST,1,1.25,HOME,FLA,438,0,20,20,21,-49,49,0.189034,0.01499,0.478563,0.252229,0.0223392,0.0428447,0.732052,-37,37
12,7.615773106,-82,82,-3,3,21,0,120,79,4,CHI,0,20,20,20,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,47.38143096,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,60,1,0,SHOT,42.76882539,54.4885309,HOME,-49,49,-37,37,AWAYZONE,1,1,13,63,C,2025,R,Sam Reinhart,8477933,64,41,50.2,52.5,41,48.66666667,41,41,2,3,64,64,41,64,41,41,41,41,41,41,41,41,23.19859051,23.19859051,19.57023488,0.931915947,0,7.615773106,1,0,0,0,0,0,0,0,TIP,0,2.256258617,HOME,FLA,459,21,41,21,2,-82,82,0.129486,0.174968,0.376533,0.207047,0.0198639,0.092102,0.788849,-3,3
13,20,-71,71,9,9,26,0,120,77,4,CHI,0,17,16.5,16.5,17.5,17.5,17,2,2,18,17,17,18,18,18,16,16,16,17,17,16,16.2788206,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,61,1,0,MISS,23.19859051,7.615773106,HOME,-82,82,-3,3,AWAYZONE,0,1,5,13,D,2025,R,Aaron Ekblad,8477932,43,43,52.2,54.5,43,50.66666667,43,43,2,3,66,66,43,66,43,43,43,43,43,43,43,43,-26.56505118,26.56505118,49.76364169,24.88182085,1,20.1246118,0,0,0,1,0,0,1,0,WRIST,1,8.139410298,HOME,FLA,461,27,43,2,8,-71,71,0.159566,0.263378,0.313256,0.167531,0.0327377,0.0635317,0.774856,9,-9
14,64,-30,30,-26,26,-5.4,0,0,0,5,CHI,0,43.2,51,41,38,38,39.2,2,3,52,52,41,41,41,41,32,50,41,32,32,32,42.3792402,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,66,1,0,GIVE,0,0,AWAY,-70,70,-40,40,AWAYZONE,0,1,42,0,D,2025,L,Gustav Forsling,8478055,50,41,37.4,40,35.5,35.66666667,32.66666667,33.8,2,3,50,50,41,50,41,41,28,30,30,28,28,28,23.78203042,23.78203042,0,0,0,64.47480128,0,0,0,1,0,0,0,0,WRIST,1,2.82528268,HOME,FLA,574,-4,41,15,3,-30,30,0.182433,0.0100686,0.442255,0.311757,0.0193274,0.0341586,0.648945,-26,26
15,23,66,66,-1,1,0,0,0,0,5,CHI,0,26,26,26,26,26,26,2,3,26,26,26,26,26,26,26,26,26,26,26,26,145.0655024,GOAL,20001,1,8475683,Sergei Bobrovsky,0,0,0,5,FLA,0,1,70,0,0,HIT,0,0,AWAY,-74,-74,-39,-39,HOMEZONE,0,1,91,0,C,2025,R,Frank Nazar,8483493,26,26,26,26,26,26,26,26,2,3,26,26,26,26,26,26,26,26,26,26,26,26,-2.489552922,2.489552922,0,0,0,23.02172887,0,0,0,0,0,0,0,0,SNAP,1,6.307195759,AWAY,CHI,603,0,26,23,0,66,66,0.120665,0.1296,0.396465,0.283649,0.0217384,0.0478823,0.778653,-1,-1
16,68,-33,33,39,39,0,0,0,0,5,CHI,1,35,35,35,35,35,35,2,3,35,35,35,35,35,35,35,35,35,35,35,35,89.18520057,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,75,1,0,HIT,0,0,AWAY,-78,78,-38,38,AWAYZONE,0,1,2,0,D,2025,R,Jeff Petry,8473507,35,35,35,35,35,35,35,35,2,3,35,35,35,35,35,35,35,35,35,35,35,35,-34.85445557,34.85445557,0,0,0,68.24221567,0,0,0,1,0,0,0,0,WRIST,0,22.29630014,HOME,FLA,638,0,35,4,25,-33,33,0.242124,0.0126039,0.427171,0.27129,0.024765,0.0220461,0.669322,39,-39
17,10,-79,79,1,1,-2.4,0,0,0,5,CHI,1,17,13.5,13.5,19.33333333,19.33333333,17,2,3,21,14,14,21,21,21,13,13,13,18,18,13,9.219544457,GOAL,20001,1,8481519,Spencer Knight,0,0,0,5,FLA,0,1,77,1,0,BLOCK,0,0,HOME,-73,73,-6,6,AWAYZONE,1,1,10,0,L,2025,L,A.J. Greer,8478421,22,22,14.6,9,9,18.33333333,18.33333333,14.6,2,3,22,9,9,22,22,22,9,9,9,14,14,9,-5.710593138,5.710593138,0,0,0,10.04987562,0,0,0,0,0,0,0,0,WRIST,1,3.073181486,HOME,FLA,666,-4,63,3,0,-79,79,0.173638,0.242346,0.259803,0.189704,0.0259798,0.108529,0.933962,1,-1
18,27,84,84,-27,27,-2.4,0,0,0,5,CHI,1,35.6,41,32,32,32,32,2,3,41,41,32,32,32,32,32,41,32,32,32,32,88.23264702,MISS,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,1,1,79,0,0,FAC,0,0,HOME,0,0,0,0,HOMEZONE,0,1,98,0,C,2025,R,Connor Bedard,8484144,32,32,32.2,32.5,26,32,32,29.6,2,3,45,45,32,32,32,32,20,20,20,32,32,20,-79.50852299,79.50852299,0,0,0,27.45906044,0,0,0,0,1,0,0,0,SNAP,0,2.757270219,AWAY,CHI,698,-12,32,32,9,84,84,0.132079,0.0226852,0.419946,0.355431,0.0222758,0.0475835,0.765963,-27,-27
19,42,47,47,4,4,-2,0,0,0,5,CHI,1,34.4,35,30.5,34,34,32.6,2,3,50,50,41,41,41,41,20,20,20,20,20,20,48.27007354,MISS,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,1,1,80,0,0,MISS,-79.50852299,27.45906044,AWAY,84,84,-27,-27,HOMEZONE,1,1,98,98,C,2025,R,Connor Bedard,8484144,41,41,30.6,15,15,41,41,30.6,2,3,41,20,20,41,41,41,10,10,10,41,41,10,5.440332031,5.440332031,84.94885502,9.438761669,1,42.19004622,0,0,0,0,1,0,0,0,SNAP,0,5.363341505,AWAY,CHI,707,-10,41,9,15,47,47,0.159781,0.0336558,0.434193,0.309448,0.0194896,0.0434333,0.663826,4,4
